"category"	"name"	"url"	"description"	"star"	"stackOverflow"	"stackOverflowUrl"	"license"	"licenseUrl"	"site"	"userGuide"	"newStars"	"newWatchs"	"newForks"	"pageText"	"newStackOverflow"	"github"	"allText"	"isExist"
"Bean Mapping"	"ModelMapper"	"https://github.com/jhalterman/modelmapper"	"ModelMapper is an intelligent object mapping library that automatically maps objects to each other."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/jhalterman/modelmapper"	"ModelMapper is an intelligent object mapping library that automatically maps objects to each other."	"true"
"Bean Mapping"	"Orika"	"https://github.com/orika-mapper/orika"	"Orika is a Java Bean mapping framework that recursively copies (among other capabilities) data from one object to another."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/orika-mapper/orika"	"Orika is a Java Bean mapping framework that recursively copies (among other capabilities) data from one object to another."	"true"
"Bean Mapping"	"Selma"	"https://github.com/xebia-france/selma"	"Stupid Simple Statically Linked Mapper. Selma is an Annotation Processor Based bean mapper."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/xebia-france/selma"	"Stupid Simple Statically Linked Mapper. Selma is an Annotation Processor Based bean mapper."	"true"
"Build"	"Apache Maven"	"http://maven.apache.org/"	"Declarative build and dependency management which favors convention over configuration. It might be preferable to Apache Ant which uses a rather procedural approach and can be difficult to maintain."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Declarative build and dependency management which favors convention over configuration. It might be preferable to Apache Ant which uses a rather procedural approach and can be difficult to maintain."	"true"
"Build"	"Bazel"	"http://bazel.io"	"Build tool from Google that builds code quickly and reliably."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	""	"null"	"null"	"Build tool from Google that builds code quickly and reliably."	"false"
"Build"	"Gradle"	"http://gradle.org/"	"Incremental builds which are programmed via Groovy instead of declaring XML. Works well with Maven's dependency management."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Incremental builds which are programmed via Groovy instead of declaring XML. Works well with Maven's dependency management."	"true"
"Bytecode Manipulation"	"ASM"	"http://asm.ow2.org/"	"All purpose, low level, bytecode manipulation and analysis."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"All purpose, low level, bytecode manipulation and analysis."	"true"
"Bytecode Manipulation"	"Byte Buddy"	"http://bytebuddy.net/"	"Further simplifies bytecode generation with a fluent API."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Further simplifies bytecode generation with a fluent API."	"true"
"Bytecode Manipulation"	"Byteman"	"http://byteman.jboss.org/"	"Manipulate bytecode at runtime via DSL (rules) mainly for testing/troubleshooting."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Manipulate bytecode at runtime via DSL (rules) mainly for testing/troubleshooting."	"true"
"Bytecode Manipulation"	"cglib"	"https://github.com/cglib/cglib"	"Bytecode generation library."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/cglib/cglib"	"Bytecode generation library."	"true"
"Bytecode Manipulation"	"Javassist"	"http://jboss-javassist.github.io/javassist/"	"Tries to simplify the editing of bytecode."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Tries to simplify the editing of bytecode."	"true"
"Cluster Management"	"Apache Aurora"	"http://aurora.apache.org/"	"Apache Aurora is a Mesos framework for long-running services and cron jobs."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Apache Aurora is a Mesos framework for long-running services and cron jobs."	"true"
"Cluster Management"	"Apache Mesos"	"http://mesos.apache.org/"	"Abstracts CPU, memory, storage, and other compute resources away from machines."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Abstracts CPU, memory, storage, and other compute resources away from machines."	"true"
"Cluster Management"	"Singularity"	"http://getsingularity.com/"	"Singularity is a Mesos framework that makes deployment and operations easy. It supports web services, background workers, scheduled jobs, and one-off tasks."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Singularity is a Mesos framework that makes deployment and operations easy. It supports web services, background workers, scheduled jobs, and one-off tasks."	"true"
"Code Analysis"	"Checkstyle"	"https://github.com/checkstyle/checkstyle"	"Static analysis of coding conventions and standards."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/checkstyle/checkstyle"	"Static analysis of coding conventions and standards."	"true"
"Code Analysis"	"Codacy"	"https://www.codacy.com"	"Continuous static analysis, code coverage, and software metrics to automate code reviews."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Continuous static analysis, code coverage, and software metrics to automate code reviews."	"true"
"Code Analysis"	"Error Prone"	"https://github.com/google/error-prone"	"Catches common programming mistakes as compile-time errors."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/google/error-prone"	"Catches common programming mistakes as compile-time errors."	"true"
"Code Analysis"	"FindBugs"	"http://findbugs.sourceforge.net/"	"Static analysis of bytecode to find potential bugs."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Static analysis of bytecode to find potential bugs."	"true"
"Code Analysis"	"jQAssistant"	"http://jqassistant.org/"	"Static code analysis with Neo4J-based query language."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Static code analysis with Neo4J-based query language."	"true"
"Code Analysis"	"PMD"	"https://github.com/pmd/pmd"	"Source code analysis for finding bad coding practices."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/pmd/pmd"	"Source code analysis for finding bad coding practices."	"true"
"Code Analysis"	"SonarQube"	"http://www.sonarqube.org/"	"Integrates other analysis components via plugins and provides an overview of the metrics over time."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Integrates other analysis components via plugins and provides an overview of the metrics over time."	"true"
"Code Coverage"	"Clover"	"https://www.atlassian.com/software/clover/overview"	"Proprietary code coverage tool by Atlassian that relies on source-code instrumentation, instead of bytecode instrumentation."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Proprietary code coverage tool by Atlassian that relies on source-code instrumentation, instead of bytecode instrumentation."	"true"
"Code Coverage"	"Cobertura"	"http://cobertura.github.io/cobertura/"	"Relies on offline (or static) bytecode instrumentation and class loading to collect code coverage metrics; GPLv2 licensed."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Relies on offline (or static) bytecode instrumentation and class loading to collect code coverage metrics; GPLv2 licensed."	"true"
"Code Coverage"	"JaCoCo"	"http://eclemma.org/jacoco/"	"Framework that enables collection of code coverage metrics, using both offline and runtime bytecode instrumentation; prominently used by EclEmma, the Eclipse code-coverage plugin."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Framework that enables collection of code coverage metrics, using both offline and runtime bytecode instrumentation; prominently used by EclEmma, the Eclipse code-coverage plugin."	"true"
"Command-line Argument Parsers"	"args4j"	"http://args4j.kohsuke.org/"	"Small library to parse command like arguments similar to javac."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Small library to parse command like arguments similar to javac."	"true"
